review_id,product_name,rating,date,review_text
60001,Basic White T-Shirt,5,2023-04-17,گرون بود ولی کیفیتش حرف نداشت
60002,Leather Jacket Brown,4,2023-05-14,گرون بود ولی کیفیتش حرف نداشت
60003,Leather Jacket Brown,3,2023-01-23,کیفیت پارچه عالی بود، دقیقاً مثل عکس بود
60004,Basic White T-Shirt,3,2023-03-14,عالی بود، همه ازم پرسیدن از کجا خریدم
60005,Basic White T-Shirt,2,2023-12-17,رنگش فوق‌العاده قشنگه، بعد شستشو هم نرنگ شد
60006,Slim Jeans Blue,4,2023-01-28,دوختش ضعیف بود، بعد دو بار پوشیدن باز شد
60007,Slim Jeans Blue,1,2023-01-25,خیلی راحت و خوشگل، برای هر موقعیتی مناسبه
60008,Slim Jeans Blue,3,2023-03-06,خیلی خوشگل بود ولی سایزبندی‌اش بد بود
60009,Summer Cotton Dress,5,2023-07-13,رنگش فوق‌العاده قشنگه، بعد شستشو هم نرنگ شد
60010,Basic White T-Shirt,5,2023-07-26,خیلی خوشگل بود ولی سایزبندی‌اش بد بود
60011,Basic White T-Shirt,1,2023-10-26,دوختش ضعیف بود، بعد دو بار پوشیدن باز شد
60012,Basic White T-Shirt,1,2023-02-09,رنگش فوق‌العاده قشنگه، بعد شستشو هم نرنگ شد
60013,Basic White T-Shirt,4,2023-01-23,برای زمستون خیلی نازکه
60014,Slim Jeans Blue,1,2023-06-26,برای زمستون خیلی نازکه
60015,Slim Jeans Blue,1,2023-09-21,ارزش خرید بالایی داشت، پیشنهاد می‌کنم
60016,Summer Cotton Dress,1,2023-05-08,رنگش فوق‌العاده قشنگه، بعد شستشو هم نرنگ شد
60017,Slim Jeans Blue,3,2023-09-20,دوختش ضعیف بود، بعد دو بار پوشیدن باز شد
60018,Basic White T-Shirt,4,2023-10-04,عالی بود، همه ازم پرسیدن از کجا خریدم
60019,Basic White T-Shirt,1,2023-02-04,برای زمستون خیلی نازکه
60020,Oversize Hoodie Black,1,2023-04-11,رنگش فوق‌العاده قشنگه، بعد شستشو هم نرنگ شد
60021,Slim Jeans Blue,5,2023-08-13,دوختش ضعیف بود، بعد دو بار پوشیدن باز شد
